age,employment,gender,race,household_income,education,state,vote_trump
44,0,0,1,"Less than $14,999",Completed some high school,SC,0
48,0,1,0,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",CA,0
40,0,1,1,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",TX,0
56,0,1,1,"$45,000 to $49,999",High school graduate,CA,1
35,0,1,0,"$50,000 to $54,999",High school graduate,FL,1
40,0,1,1,"$40,000 to $44,999",Middle School or less,SD,1
18,0,1,0,"$100,000 to $124,999",High school graduate,GA,0
68,0,1,1,"$35,000 to $39,999","Completed some college, but no degree",CA,0
73,0,0,0,"$25,000 to $29,999","Completed some college, but no degree",GA,0
49,0,1,1,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",TX,1
72,0,1,1,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",MI,0
42,1,1,1,"$175,000 to $199,999","Completed some college, but no degree",MD,1
49,1,1,0,"$55,000 to $59,999","Completed some college, but no degree",LA,0
33,1,0,0,"$175,000 to $199,999","Completed some college, but no degree",CA,1
59,0,0,0,"$35,000 to $39,999","Completed some college, but no degree",NJ,0
34,1,1,1,"Less than $14,999",High school graduate,FL,0
39,1,1,1,"Less than $14,999","Completed some college, but no degree",UT,1
25,0,1,1,"Less than $14,999",Completed some high school,CA,0
40,1,1,0,"$20,000 to $24,999","Completed some graduate, but no degree",CA,0
57,0,1,1,"$30,000 to $34,999",High school graduate,CA,1
46,1,1,1,"$100,000 to $124,999",High school graduate,TN,1
30,0,0,1,"Less than $14,999",Completed some high school,NV,1
45,0,0,1,"$80,000 to $84,999",High school graduate,CA,0
62,0,1,1,"$55,000 to $59,999",High school graduate,KY,1
28,1,0,0,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",CA,0
33,1,0,1,"$45,000 to $49,999","Completed some college, but no degree",CA,1
47,0,0,1,"$30,000 to $34,999","Completed some college, but no degree",NY,0
53,1,1,0,"$100,000 to $124,999","Completed some college, but no degree",TX,0
44,0,1,1,"$50,000 to $54,999",High school graduate,IL,0
38,1,1,1,"$200,000 to $249,999",More than College,NY,1
32,0,1,1,"Less than $14,999",Completed some high school,NY,0
19,1,1,0,"$100,000 to $124,999","Completed some graduate, but no degree",LA,0
66,0,1,1,"$45,000 to $49,999","Completed some college, but no degree",NV,1
46,0,1,1,"Less than $14,999","Completed some college, but no degree",ID,1
35,1,1,1,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",GA,1
50,1,1,1,"$50,000 to $54,999","Completed some college, but no degree",IA,0
35,0,0,0,"$70,000 to $74,999",Completed some high school,GA,0
53,1,1,1,"$40,000 to $44,999","Completed some college, but no degree",CO,1
52,0,0,1,"$30,000 to $34,999",Completed some high school,OR,1
31,1,1,1,"$45,000 to $49,999",High school graduate,FL,0
65,0,0,0,"$85,000 to $89,999","Completed some graduate, but no degree",WA,1
74,0,1,1,"$75,000 to $79,999","Completed some college, but no degree",ID,0
42,0,0,1,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",MI,0
45,1,1,1,"$250,000 and above",More than College,CA,0
24,1,0,0,"$75,000 to $79,999",Completed some high school,NY,0
61,0,1,0,"$20,000 to $24,999",High school graduate,MI,0
66,0,0,1,"Less than $14,999",Completed some high school,CA,0
49,1,1,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",FL,1
29,1,1,1,"$30,000 to $34,999","Completed some graduate, but no degree",CO,1
30,0,1,1,"Less than $14,999",Completed some high school,LA,1
33,0,0,1,"$20,000 to $24,999",High school graduate,FL,0
36,0,0,1,"$30,000 to $34,999","Completed some college, but no degree",TX,0
20,0,1,1,"$40,000 to $44,999","Completed some college, but no degree",FL,0
38,1,0,0,"$150,000 to $174,999",More than College,AZ,0
49,0,0,1,"Less than $14,999","Completed some graduate, but no degree",TX,0
20,0,0,0,"$125,000 to $149,999",High school graduate,TX,1
26,0,0,1,"$30,000 to $34,999",Completed some high school,OH,0
25,1,0,1,"$100,000 to $124,999",More than College,MA,0
39,0,1,1,"$70,000 to $74,999","Completed some college, but no degree",WA,0
47,0,0,0,"$70,000 to $74,999","Completed some graduate, but no degree",CA,0
63,0,0,1,"$55,000 to $59,999","Completed some college, but no degree",OK,0
29,1,1,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NY,1
55,0,1,1,"$45,000 to $49,999",More than College,FL,1
18,0,0,1,"Less than $14,999",Completed some high school,MS,1
52,1,0,0,"$50,000 to $54,999",High school graduate,NC,0
49,0,0,1,"$15,000 to $19,999",High school graduate,TX,1
23,0,0,1,"$25,000 to $29,999","Completed some college, but no degree",OR,0
60,0,1,1,"$15,000 to $19,999","Completed some college, but no degree",CO,0
57,0,0,1,"$15,000 to $19,999",High school graduate,VA,1
22,0,0,1,"Less than $14,999","Completed some college, but no degree",WI,0
57,1,1,1,"$45,000 to $49,999",High school graduate,NC,1
42,0,1,1,"$20,000 to $24,999",High school graduate,OR,0
58,0,0,1,"$15,000 to $19,999","Completed some college, but no degree",MS,0
62,0,0,1,"$45,000 to $49,999","Completed some college, but no degree",TX,0
44,0,1,1,"$65,000 to $69,999",High school graduate,IL,0
31,1,0,1,"$35,000 to $39,999",High school graduate,NC,0
76,0,0,1,"$25,000 to $29,999","Completed some graduate, but no degree",OH,1
64,0,0,1,"Less than $14,999",High school graduate,NY,0
41,0,1,1,"$20,000 to $24,999","Completed some college, but no degree",CA,0
64,0,0,1,"$15,000 to $19,999","Completed some college, but no degree",FL,0
27,1,1,1,"$35,000 to $39,999","Completed some college, but no degree",UT,0
19,0,0,0,"$250,000 and above","Completed some graduate, but no degree",MS,0
41,0,1,1,"Less than $14,999",High school graduate,IN,1
27,0,0,1,"Less than $14,999",High school graduate,TX,0
19,0,1,0,"$200,000 to $249,999",Completed some high school,GA,0
66,0,0,1,"$100,000 to $124,999",More than College,CA,1
40,0,1,0,"$50,000 to $54,999","Completed some college, but no degree",TX,1
43,1,1,0,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",SC,0
34,0,1,1,"$85,000 to $89,999",High school graduate,IA,1
75,0,1,1,"$55,000 to $59,999","Completed some college, but no degree",FL,1
26,0,1,1,"Less than $14,999",High school graduate,PA,0
48,1,0,0,"$25,000 to $29,999",High school graduate,OK,0
28,0,0,0,"Less than $14,999",High school graduate,CA,0
65,1,1,1,"$45,000 to $49,999",High school graduate,PA,1
40,1,0,1,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",LA,1
60,0,1,1,"Less than $14,999",High school graduate,CA,0
19,0,0,1,"$50,000 to $54,999",Completed some high school,FL,0
36,0,1,1,"Less than $14,999",High school graduate,VA,1
39,0,1,0,"$35,000 to $39,999","Completed some college, but no degree",CA,0
57,1,0,1,"$80,000 to $84,999",High school graduate,MN,1
44,1,1,1,"$70,000 to $74,999",Completed some high school,CA,0
49,0,1,1,"Less than $14,999","Completed some college, but no degree",KY,0
47,0,0,0,"$75,000 to $79,999","Completed some college, but no degree",CA,0
47,1,1,1,"Less than $14,999",More than College,MA,1
37,1,0,1,"$75,000 to $79,999",Completed some high school,PA,0
56,0,1,1,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",TX,1
51,1,1,0,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",PA,1
39,1,1,1,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",SC,0
40,1,1,1,"$200,000 to $249,999","Completed some graduate, but no degree",NY,1
43,0,1,1,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",AZ,0
73,0,1,1,"$100,000 to $124,999",More than College,NJ,0
40,1,1,1,"$125,000 to $149,999",More than College,WA,0
31,0,0,0,"$15,000 to $19,999","Completed some college, but no degree",AR,1
69,0,1,0,"$15,000 to $19,999",Completed some high school,NY,0
67,0,1,1,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",CT,0
22,0,0,0,"$20,000 to $24,999",Completed some high school,CA,0
72,0,0,0,"$15,000 to $19,999",High school graduate,PA,0
63,1,1,1,"$150,000 to $174,999","Completed some college, but no degree",IL,1
73,0,1,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",VA,0
70,0,1,1,"$125,000 to $149,999","Completed some college, but no degree",CA,0
59,0,1,1,"$175,000 to $199,999",More than College,OH,0
48,1,0,0,"$40,000 to $44,999",More than College,MD,0
29,1,1,1,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",MO,0
42,1,1,1,"$200,000 to $249,999",More than College,TX,1
50,0,1,1,"$100,000 to $124,999","Completed some college, but no degree",AZ,1
53,1,1,1,"$75,000 to $79,999","Completed some college, but no degree",PA,1
29,1,1,1,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",MO,0
30,1,1,0,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",TN,0
20,1,1,1,"$200,000 to $249,999",High school graduate,TX,0
36,0,1,1,"$45,000 to $49,999",Completed some high school,NY,0
58,0,0,1,"$20,000 to $24,999",High school graduate,WV,1
25,0,1,0,"$100,000 to $124,999","Completed some graduate, but no degree",OH,0
64,0,0,1,"$40,000 to $44,999","Completed some college, but no degree",NC,0
67,0,0,1,"$35,000 to $39,999","Completed some college, but no degree",PA,0
47,0,0,1,"Less than $14,999","Completed some college, but no degree",MI,1
51,0,0,1,"$50,000 to $54,999","Completed some graduate, but no degree",NJ,0
37,0,0,1,"$90,000 to $94,999",More than College,NC,0
39,0,0,1,"$15,000 to $19,999",High school graduate,IA,0
40,1,0,1,"$100,000 to $124,999",More than College,TN,0
37,1,1,1,"$175,000 to $199,999",More than College,FL,0
74,0,0,1,"$35,000 to $39,999",High school graduate,PA,1
62,0,0,1,"$70,000 to $74,999",High school graduate,CT,0
46,0,1,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",OH,1
58,1,0,1,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",FL,0
61,1,0,1,"$200,000 to $249,999",More than College,PA,0
19,0,1,1,"$100,000 to $124,999",Completed some high school,CA,0
37,0,0,1,"Less than $14,999",High school graduate,NC,0
33,0,0,1,"$15,000 to $19,999",Completed some high school,KS,1
69,0,0,0,"$15,000 to $19,999","Completed some college, but no degree",MO,0
72,0,1,0,"$20,000 to $24,999","Completed some graduate, but no degree",MI,1
38,1,1,1,"$175,000 to $199,999",More than College,NY,1
18,0,0,1,"Less than $14,999",High school graduate,MI,0
42,0,0,1,"$45,000 to $49,999","Completed some graduate, but no degree",CA,0
66,0,0,0,"Less than $14,999",Middle School or less,FL,1
41,1,1,1,"$150,000 to $174,999",More than College,TX,1
42,1,1,1,"$150,000 to $174,999",More than College,NY,1
60,0,0,1,"Less than $14,999",High school graduate,IL,1
57,1,0,1,"$200,000 to $249,999","College Degree (such as B.A., B.S.)",NY,0
76,0,0,1,"$25,000 to $29,999","Completed some college, but no degree",IL,0
27,0,0,0,"Less than $14,999","Completed some college, but no degree",OH,0
57,1,0,0,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",AL,0
37,0,0,1,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",MD,1
38,1,1,1,"$150,000 to $174,999",More than College,KS,0
42,1,1,1,"$250,000 and above",More than College,VA,1
77,0,1,1,"$90,000 to $94,999","Completed some college, but no degree",NJ,0
65,1,0,1,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",CA,0
40,1,1,1,"$250,000 and above",More than College,NY,0
78,0,0,1,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",NJ,1
39,1,1,1,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",CT,0
39,1,1,1,"$150,000 to $174,999",More than College,NY,1
30,1,0,1,"$50,000 to $54,999",High school graduate,TN,1
43,1,1,1,"$150,000 to $174,999",More than College,CA,0
67,0,0,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",FL,1
83,0,0,1,"$50,000 to $54,999",High school graduate,NJ,0
46,0,1,1,"$25,000 to $29,999",High school graduate,CA,1
30,1,0,1,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",NH,0
68,0,0,1,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",PA,1
41,1,1,1,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",CA,0
55,1,0,1,"$60,000 to $64,999","Completed some college, but no degree",AR,0
68,0,0,1,"$15,000 to $19,999","Completed some graduate, but no degree",NY,1
68,0,1,1,"$150,000 to $174,999",More than College,PA,0
19,1,0,0,"$45,000 to $49,999",High school graduate,CA,0
64,0,1,1,"$150,000 to $174,999","Completed some college, but no degree",PA,0
56,1,0,0,"$40,000 to $44,999",High school graduate,MO,0
51,1,1,0,"$95,000 to $99,999",More than College,NY,1
29,0,0,1,"$75,000 to $79,999","Completed some graduate, but no degree",OH,0
33,0,1,1,"$15,000 to $19,999","Completed some college, but no degree",CA,0
30,0,1,1,"Less than $14,999",Completed some high school,MO,1
60,0,0,1,"Less than $14,999",High school graduate,OH,1
30,0,1,0,"$25,000 to $29,999","Completed some college, but no degree",FL,0
42,1,1,1,"$125,000 to $149,999",More than College,NY,0
46,1,1,1,"$75,000 to $79,999","Completed some college, but no degree",OH,1
57,0,1,1,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",MA,1
30,1,1,0,"$30,000 to $34,999","Completed some graduate, but no degree",AL,0
64,0,0,0,"$70,000 to $74,999","Completed some graduate, but no degree",MO,0
46,1,0,1,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",TX,0
39,1,1,1,"$250,000 and above",More than College,IL,1
31,1,1,1,"$90,000 to $94,999","Completed some graduate, but no degree",MD,0
28,0,1,0,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",FL,0
60,1,0,1,"$60,000 to $64,999",Completed some high school,VA,0
79,0,0,1,"$30,000 to $34,999",High school graduate,OH,1
57,1,0,1,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",NY,1
36,1,1,1,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",MI,1
64,1,1,1,"$150,000 to $174,999",High school graduate,PA,0
68,0,1,1,"$100,000 to $124,999","Completed some college, but no degree",NC,0
57,0,0,0,"$60,000 to $64,999","Completed some graduate, but no degree",NY,0
25,0,1,0,"$25,000 to $29,999",High school graduate,GA,0
46,1,0,1,"$35,000 to $39,999",High school graduate,OH,0
51,1,1,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",AZ,1
58,0,1,0,"$70,000 to $74,999","Completed some graduate, but no degree",GA,0
63,0,1,1,"$15,000 to $19,999","Completed some college, but no degree",OH,1
24,0,1,0,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",NY,0
67,0,1,1,"$40,000 to $44,999","Completed some graduate, but no degree",OH,0
43,1,1,1,"$175,000 to $199,999",More than College,NY,1
73,0,1,1,"$250,000 and above",More than College,AL,0
54,0,1,1,"$15,000 to $19,999",More than College,GA,1
60,0,1,1,"$70,000 to $74,999","Completed some college, but no degree",WI,0
63,0,1,1,"$15,000 to $19,999","Completed some graduate, but no degree",NY,0
40,1,1,1,"$95,000 to $99,999","Completed some college, but no degree",IL,0
49,1,1,1,"$150,000 to $174,999",More than College,FL,0
21,1,1,0,"$50,000 to $54,999",High school graduate,FL,0
60,0,1,1,"$40,000 to $44,999","Completed some college, but no degree",MO,1
71,0,1,1,"$65,000 to $69,999",High school graduate,OH,1
33,1,1,1,"$30,000 to $34,999",High school graduate,PA,0
58,1,1,1,"$35,000 to $39,999",High school graduate,OH,1
55,0,0,0,"$35,000 to $39,999","Completed some graduate, but no degree",TX,0
59,0,1,1,"$20,000 to $24,999",High school graduate,AZ,0
83,0,1,1,"$70,000 to $74,999","Completed some college, but no degree",NJ,1
64,0,1,0,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",FL,0
48,1,1,1,"$80,000 to $84,999","Completed some graduate, but no degree",MI,0
45,1,1,1,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",NC,0
56,1,1,1,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",WI,1
23,0,0,0,"Less than $14,999",Completed some high school,IL,0
68,0,1,1,"$65,000 to $69,999","Completed some college, but no degree",FL,1
37,1,1,1,"$50,000 to $54,999","Completed some college, but no degree",GA,1
40,0,0,1,"$45,000 to $49,999","Completed some college, but no degree",FL,0
35,1,1,1,"$250,000 and above",More than College,TX,0
66,0,0,0,"$25,000 to $29,999","Completed some graduate, but no degree",IN,0
45,0,1,1,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",AL,0
45,1,1,0,"$60,000 to $64,999",High school graduate,WI,0
61,0,1,1,"$30,000 to $34,999",High school graduate,AZ,1
72,0,0,1,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",IA,0
67,1,1,1,"$125,000 to $149,999","Completed some graduate, but no degree",SC,1
55,1,1,1,"$200,000 to $249,999","College Degree (such as B.A., B.S.)",NH,1
20,1,1,1,"$55,000 to $59,999","Completed some college, but no degree",CO,1
46,1,1,1,"$15,000 to $19,999","Completed some graduate, but no degree",IN,1
64,0,0,1,"$250,000 and above","Completed some graduate, but no degree",KY,0
38,1,0,1,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",MI,1
68,0,0,0,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",NJ,1
64,1,1,1,"$85,000 to $89,999","Completed some college, but no degree",CA,0
37,0,1,1,"$15,000 to $19,999",Completed some high school,TX,0
59,0,1,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NY,1
52,0,1,1,"Less than $14,999",High school graduate,WA,0
63,0,0,1,"$80,000 to $84,999",More than College,MN,0
59,1,1,1,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",WI,0
77,0,0,1,"$15,000 to $19,999","Completed some graduate, but no degree",LA,0
59,1,0,1,"$125,000 to $149,999",More than College,GA,0
50,1,1,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",IL,0
60,0,1,1,"Less than $14,999",High school graduate,WI,0
64,1,1,1,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",FL,1
42,1,1,1,"$175,000 to $199,999",More than College,CA,0
23,1,1,0,"$55,000 to $59,999","Completed some college, but no degree",CA,0
43,0,1,0,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",CA,0
58,1,0,1,"$150,000 to $174,999",More than College,NY,0
41,1,1,1,"$150,000 to $174,999",More than College,CA,1
57,0,0,0,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",CA,0
67,0,1,1,"$30,000 to $34,999",High school graduate,IL,1
20,0,1,0,"Less than $14,999","Completed some college, but no degree",NY,0
40,1,1,0,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",GA,1
42,1,0,1,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",WA,0
41,1,1,1,"$175,000 to $199,999",More than College,CA,1
32,0,0,1,"Less than $14,999",High school graduate,AL,0
26,0,0,1,"$35,000 to $39,999",Completed some high school,NJ,0
63,0,0,0,"Less than $14,999",High school graduate,OH,0
28,0,0,0,"Less than $14,999",Completed some high school,NJ,0
71,0,1,1,"$125,000 to $149,999",High school graduate,KY,1
43,1,0,0,"$95,000 to $99,999",More than College,NJ,0
42,1,1,1,"$200,000 to $249,999",More than College,IL,1
18,0,0,1,"$125,000 to $149,999",Completed some high school,NY,0
61,0,0,1,"$55,000 to $59,999",Completed some high school,ME,1
24,0,0,1,"$50,000 to $54,999",High school graduate,OR,1
27,0,0,0,"Less than $14,999","College Degree (such as B.A., B.S.)",GA,0
75,0,0,1,"Less than $14,999","Completed some college, but no degree",TN,0
29,1,0,1,"$175,000 to $199,999",More than College,VA,0
42,0,0,1,"$125,000 to $149,999",More than College,VA,0
31,0,1,1,"Less than $14,999",Completed some high school,MO,0
26,0,0,1,"$45,000 to $49,999",Completed some high school,AL,1
79,0,1,1,"$45,000 to $49,999","Completed some graduate, but no degree",NJ,1
53,0,0,1,"Less than $14,999","College Degree (such as B.A., B.S.)",SD,0
67,0,0,1,"$45,000 to $49,999",High school graduate,NY,0
65,1,1,1,"$100,000 to $124,999","Completed some graduate, but no degree",CT,0
70,0,0,1,"$30,000 to $34,999",High school graduate,WI,0
41,0,1,0,"$25,000 to $29,999",High school graduate,NJ,0
62,0,0,1,"$25,000 to $29,999",High school graduate,PA,0
29,0,0,0,"$45,000 to $49,999",More than College,PA,0
72,0,0,0,"$95,000 to $99,999",More than College,WI,0
42,1,1,0,"$60,000 to $64,999",Completed some high school,GA,0
25,0,1,1,"$250,000 and above",More than College,TX,0
48,1,1,1,"$90,000 to $94,999","Completed some graduate, but no degree",IA,1
48,1,1,1,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",AR,1
18,1,1,1,"$250,000 and above",High school graduate,FL,1
68,0,0,1,"$30,000 to $34,999","Completed some college, but no degree",AR,1
47,1,0,0,"$150,000 to $174,999",More than College,NJ,0
67,1,0,1,"$50,000 to $54,999",More than College,CA,1
18,0,1,0,"$45,000 to $49,999",Completed some high school,GA,0
28,1,0,1,"$40,000 to $44,999",Completed some high school,AL,0
68,0,0,1,"$30,000 to $34,999",High school graduate,CA,0
57,0,1,1,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",NJ,0
58,1,1,1,"$250,000 and above",More than College,PA,0
67,0,0,1,"$25,000 to $29,999","Completed some graduate, but no degree",ND,1
79,0,1,1,"$40,000 to $44,999",High school graduate,PA,1
48,1,0,1,"$55,000 to $59,999",More than College,GA,0
62,0,1,1,"$60,000 to $64,999",More than College,MD,0
55,1,0,1,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",VA,0
40,1,1,1,"$175,000 to $199,999",More than College,IL,1
25,0,0,1,"$35,000 to $39,999",Completed some high school,TN,1
69,0,0,1,"$95,000 to $99,999","Completed some graduate, but no degree",NJ,1
38,1,1,1,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",TX,1
68,0,0,1,"$35,000 to $39,999","Completed some graduate, but no degree",VA,1
29,1,1,0,"$30,000 to $34,999",Completed some high school,MS,0
65,0,0,1,"$25,000 to $29,999","Completed some graduate, but no degree",TX,1
55,0,0,1,"$95,000 to $99,999","Completed some college, but no degree",IA,0
60,0,0,1,"$45,000 to $49,999",High school graduate,NY,0
40,1,1,1,"$95,000 to $99,999",More than College,FL,1
76,0,1,1,"$95,000 to $99,999","Completed some graduate, but no degree",VA,0
72,0,0,0,"$15,000 to $19,999","Completed some college, but no degree",MS,0
75,0,0,1,"$55,000 to $59,999",High school graduate,ID,1
76,0,1,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NY,1
78,0,0,1,"$25,000 to $29,999","Completed some college, but no degree",OR,1
82,0,0,0,"$20,000 to $24,999","Completed some college, but no degree",VA,1
18,0,1,1,"$250,000 and above","Completed some college, but no degree",MA,0
76,0,1,1,"$25,000 to $29,999","Completed some college, but no degree",FL,1
43,1,1,1,"$200,000 to $249,999",More than College,NY,1
41,1,1,1,"$150,000 to $174,999",More than College,OH,1
29,1,0,0,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",GA,0
55,0,0,0,"$30,000 to $34,999","Completed some college, but no degree",FL,0
67,0,1,1,"$20,000 to $24,999","Completed some college, but no degree",NJ,1
62,0,0,1,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",MA,0
33,1,1,0,"$250,000 and above","College Degree (such as B.A., B.S.)",MA,0
37,0,1,1,"Less than $14,999",Completed some high school,IN,1
36,0,0,0,"$30,000 to $34,999",Completed some high school,AL,0
47,0,0,1,"Less than $14,999",High school graduate,AL,1
75,0,0,0,"Less than $14,999","Completed some college, but no degree",ID,0
39,1,1,1,"$70,000 to $74,999","Completed some graduate, but no degree",NY,0
74,0,0,1,"$45,000 to $49,999",High school graduate,IL,1
25,1,1,1,"$40,000 to $44,999",High school graduate,TX,1
33,0,0,1,"$60,000 to $64,999",High school graduate,OK,0
25,1,1,1,"$250,000 and above","Completed some graduate, but no degree",MO,1
70,0,0,1,"$35,000 to $39,999","Completed some college, but no degree",NC,0
40,1,1,1,"$175,000 to $199,999",More than College,GA,1
35,1,1,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",WA,0
19,0,1,1,"Less than $14,999","Completed some college, but no degree",IN,0
72,0,1,1,"$125,000 to $149,999",More than College,TX,0
70,0,1,1,"$150,000 to $174,999",More than College,PA,0
41,1,1,1,"$150,000 to $174,999",More than College,NC,1
71,0,0,1,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",AZ,0
53,1,1,1,"$100,000 to $124,999",More than College,CA,0
45,0,0,1,"$25,000 to $29,999",High school graduate,TX,0
27,0,0,1,"$30,000 to $34,999",Completed some high school,IL,1
36,0,1,1,"$35,000 to $39,999","Completed some college, but no degree",WA,1
42,1,0,0,"Less than $14,999","College Degree (such as B.A., B.S.)",TX,0
43,0,0,1,"$15,000 to $19,999",Completed some high school,MO,0
60,0,1,0,"Less than $14,999",High school graduate,CO,0
32,0,1,0,"Less than $14,999",High school graduate,FL,0
64,1,0,1,"$25,000 to $29,999","Completed some college, but no degree",FL,1
51,1,1,1,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",PA,0
37,0,0,1,"Less than $14,999","Completed some graduate, but no degree",PA,0
29,1,1,0,"$60,000 to $64,999","Completed some college, but no degree",FL,0
59,0,1,0,"$25,000 to $29,999",High school graduate,CA,1
55,1,1,1,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",MS,1
38,1,1,1,"$125,000 to $149,999",More than College,VA,0
34,0,0,1,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",CA,0
58,1,1,1,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",TX,1
34,1,1,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",PA,0
41,1,1,0,"$100,000 to $124,999","Completed some graduate, but no degree",CA,0
43,0,1,0,"$20,000 to $24,999","Completed some college, but no degree",MO,0
45,0,1,1,"Less than $14,999",High school graduate,OH,0
33,1,1,1,"$60,000 to $64,999","Completed some college, but no degree",MI,0
41,1,1,1,"$200,000 to $249,999",More than College,MD,1
44,1,1,1,"$150,000 to $174,999",More than College,VA,0
41,1,1,1,"$200,000 to $249,999",More than College,NY,1
68,0,1,1,"$125,000 to $149,999","Completed some college, but no degree",WA,1
47,0,1,1,"$30,000 to $34,999",High school graduate,UT,1
45,1,1,1,"$100,000 to $124,999",Completed some high school,CA,1
31,1,1,1,"Less than $14,999","Completed some graduate, but no degree",AZ,0
36,0,0,1,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",WA,0
43,1,1,0,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",HI,0
22,1,1,1,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",VA,0
43,1,0,0,"$95,000 to $99,999","Completed some college, but no degree",AZ,0
50,1,1,1,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",PA,0
18,0,0,0,"$30,000 to $34,999",Completed some high school,NY,0
61,0,0,1,"$30,000 to $34,999","Completed some graduate, but no degree",DC,0
63,0,1,1,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",WI,0
29,1,1,1,"$45,000 to $49,999","Completed some graduate, but no degree",WY,0
24,1,0,1,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",OH,1
55,0,0,1,"Less than $14,999","Completed some graduate, but no degree",CA,0
24,1,0,0,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",NY,0
36,1,0,0,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",MA,0
76,0,1,1,"$35,000 to $39,999",High school graduate,NJ,1
48,0,0,1,"$15,000 to $19,999","Completed some college, but no degree",MO,1
48,1,0,0,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",NC,0
29,1,0,1,"$100,000 to $124,999",More than College,PA,0
46,0,1,1,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",OH,1
37,1,1,1,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",NY,1
31,1,0,0,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",MS,0
