age,employment,gender,race,household_income,education,state,vote_trump
68,0,0,1,"$70,000 to $74,999",More than College,NY,0
58,1,0,1,"$60,000 to $64,999",High school graduate,IN,1
33,1,0,0,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",CA,0
26,0,0,1,"$250,000 and above","Completed some college, but no degree",FL,1
22,0,0,1,"$40,000 to $44,999",High school graduate,FL,0
76,0,0,1,"$65,000 to $69,999","Completed some college, but no degree",PA,1
38,1,0,1,"$25,000 to $29,999",High school graduate,SC,1
53,1,0,1,"$100,000 to $124,999",More than College,IL,1
64,0,0,1,"$15,000 to $19,999","Completed some college, but no degree",OH,0
49,1,1,1,"$90,000 to $94,999",More than College,NY,1
66,0,1,1,"$65,000 to $69,999","Completed some college, but no degree",IA,1
56,1,0,1,"$125,000 to $149,999",More than College,WI,1
26,0,0,1,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",CT,0
58,0,0,1,"$30,000 to $34,999",High school graduate,PA,1
72,1,0,1,"$100,000 to $124,999","Completed some graduate, but no degree",NJ,0
36,1,0,1,"$60,000 to $64,999",More than College,DC,0
70,0,1,1,"$100,000 to $124,999",More than College,PA,0
25,0,1,1,"$45,000 to $49,999","Completed some graduate, but no degree",GA,1
40,1,0,1,"$150,000 to $174,999",More than College,NY,0
42,1,1,1,"$150,000 to $174,999",More than College,FL,1
26,0,1,0,"Less than $14,999",Completed some high school,FL,0
45,0,1,0,"Less than $14,999","Completed some college, but no degree",NY,0
57,0,0,1,"$30,000 to $34,999","Completed some graduate, but no degree",GA,1
55,0,0,1,"$90,000 to $94,999","Completed some college, but no degree",IL,1
70,0,1,1,"$55,000 to $59,999","Completed some college, but no degree",NM,0
55,0,0,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",TN,0
46,0,0,0,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",CA,0
32,0,0,1,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",NC,1
66,1,0,1,"$40,000 to $44,999","Completed some college, but no degree",VA,1
35,1,1,1,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",MN,1
71,0,1,1,"$25,000 to $29,999","Completed some graduate, but no degree",WI,1
34,0,1,1,"Less than $14,999","Completed some college, but no degree",AZ,0
37,0,0,1,"$100,000 to $124,999",More than College,PA,0
27,1,0,1,"$30,000 to $34,999","Completed some college, but no degree",OK,0
61,0,0,1,"$100,000 to $124,999",More than College,IL,1
47,1,1,1,"$100,000 to $124,999",More than College,FL,1
69,1,0,0,"$100,000 to $124,999",More than College,DC,0
45,0,0,1,"$55,000 to $59,999",More than College,TX,1
26,0,0,1,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",IN,1
53,1,1,1,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",OH,1
20,0,1,0,"$50,000 to $54,999",High school graduate,OH,0
65,0,1,1,"$50,000 to $54,999","Completed some graduate, but no degree",AZ,0
50,1,0,1,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",NJ,1
67,0,1,1,"$40,000 to $44,999","Completed some college, but no degree",CO,0
68,0,0,1,"$25,000 to $29,999","Completed some graduate, but no degree",MA,0
55,1,1,0,"$40,000 to $44,999",More than College,PA,0
48,1,0,1,"$40,000 to $44,999","Completed some college, but no degree",OH,0
18,0,0,1,"$45,000 to $49,999",High school graduate,NC,0
68,0,1,0,"$25,000 to $29,999","Completed some graduate, but no degree",HI,0
57,0,1,1,"$95,000 to $99,999",More than College,CT,0
32,1,0,1,"$150,000 to $174,999",More than College,FL,0
65,0,1,1,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",WI,0
67,0,0,0,"$60,000 to $64,999","Completed some graduate, but no degree",NJ,0
52,0,0,1,"Less than $14,999",High school graduate,TX,1
73,0,1,1,"$80,000 to $84,999","Completed some graduate, but no degree",TX,1
79,0,0,1,"$55,000 to $59,999",More than College,IN,0
81,0,1,1,"$100,000 to $124,999",More than College,MT,1
66,0,0,1,"$15,000 to $19,999","Completed some college, but no degree",PA,0
55,0,0,1,"$20,000 to $24,999","Completed some graduate, but no degree",TX,0
38,1,0,1,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",CA,0
69,0,1,1,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",CA,0
81,0,1,0,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",CA,1
65,0,0,1,"$45,000 to $49,999","Completed some college, but no degree",TN,1
62,1,0,1,"$30,000 to $34,999","Completed some college, but no degree",NC,0
21,1,0,1,"$15,000 to $19,999",High school graduate,PA,1
44,1,0,0,"$75,000 to $79,999","Completed some graduate, but no degree",CT,0
33,0,0,0,"$100,000 to $124,999",More than College,TN,1
63,0,0,1,"$15,000 to $19,999",High school graduate,TX,0
27,1,1,1,"$45,000 to $49,999",High school graduate,PA,0
66,0,0,1,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",NJ,0
58,1,0,1,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",TN,1
60,0,0,1,"$100,000 to $124,999","Completed some college, but no degree",IL,0
29,0,0,0,"$70,000 to $74,999",More than College,OR,1
28,0,1,0,"$55,000 to $59,999","Completed some college, but no degree",CA,0
40,1,0,1,"Less than $14,999",High school graduate,CT,0
61,0,0,1,"$55,000 to $59,999","Completed some college, but no degree",WI,0
37,0,0,1,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",FL,0
20,0,1,0,"$250,000 and above",High school graduate,NV,0
67,0,0,1,"$15,000 to $19,999","Completed some college, but no degree",VT,0
28,1,1,1,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",NY,0
